"ticker","company_name","industry_group","listing_date","market_cap","active","updated_at"
"10X","EXULTANT MINING LIMITED","Materials",2025-12-11,6358000,1,2026-07-10 14:39:43.272191
"14D","1414 DEGREES LIMITED","Capital Goods",2018-09-12,46763562,1,2026-07-10 14:39:43.272191
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences",2016-08-22,12848676,1,2026-07-10 14:39:43.272191
"1AE","AURORA ENERGY METALS LIMITED","Materials",2022-05-18,9848506,1,2026-07-10 14:39:43.272191
"1AI","ALGORAE PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences",2004-09-01,26358423,1,2026-07-10 14:39:43.272191
"1CG","ONE CLICK GROUP LIMITED","Capital Goods",2017-04-28,15687434,1,2026-07-10 14:39:43.272191
"1MC","MORELLA CORPORATION LIMITED","Materials",2001-01-08,11043860,1,2026-07-10 14:39:43.272191
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services",2015-07-09,14259229,1,2026-07-10 14:39:43.272191
"29M","29METALS LIMITED","Materials",2021-07-02,420018371,1,2026-07-10 14:39:43.272191
"360","LIFE360 INC.","Software & Services",2019-05-10,6446869641,1,2026-07-10 14:39:43.272191
"3DA","AMAERO INC.","Capital Goods",2019-12-06,309831340,1,2026-07-10 14:39:43.272191
"3DP","POINTERRA LIMITED","Software & Services",2008-03-27,23741627,1,2026-07-10 14:39:43.272191
"3PL","3P LEARNING LIMITED..","Consumer Services",2014-07-09,81871957,1,2026-07-10 14:39:43.272191
"49M","49 METALS LIMITED","Materials",2026-03-31,7976955,1,2026-07-10 14:39:43.272191
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment",2010-12-09,,1,2026-07-10 14:39:43.272191
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services",2020-08-07,2450412798,1,2026-07-10 14:39:43.272191
"5GG","PENTANET LIMITED","Telecommunication Services",2021-01-29,6930747,1,2026-07-10 14:39:43.272191
"5GN","5G NETWORKS LIMITED.","Software & Services",1999-12-14,15053724,1,2026-07-10 14:39:43.272191
"6KA","6K ADDITIVE, INC.","Materials",2025-12-04,203123369,1,2026-07-10 14:39:43.272191
"88E","88 ENERGY LIMITED","Energy",2000-01-20,26619060,1,2026-07-10 14:39:43.272191
"8CO","8COMMON LIMITED","Software & Services",2014-08-27,8739701,1,2026-07-10 14:39:43.272191
"8IH","8I HOLDINGS LTD","Financial Services",2014-12-17,4177930,1,2026-07-10 14:39:43.272191
"A11","ATLANTIC LITHIUM LIMITED","Materials",2022-09-26,240450987,1,2026-07-10 14:39:43.272191
